video_id,comment_id,author,comment_text,like_count,published_at,updated_at,reply_count
3cYi5t9UvzY,Ugx-6fTq27Vb36T-RGB4AaABAg,,*Mọi người muốn tập 2 sẽ thực hiện ở đâu? Và muốn mời ai tham gia thì cùng bình luận để mấy thằng cu nhà mình biết mà mời nhé* 😂❤,2614,2022-11-17T04:17:05Z,2022-11-17T04:17:05Z,310
3cYi5t9UvzY,Ugwo58a5RII-WYqEOoF4AaABAg,@huandinh675,Èo bắt ăn hết phở cả nước 4 tô đc có 1 triệu vãi,0,2026-04-15T03:58:11Z,2026-04-15T03:58:11Z,0
3cYi5t9UvzY,Ugz_O0Vbu0NlzD-8JTZ4AaABAg,@gaor0bl0x-13th,Omg k ngờ có a tt veres lun,0,2025-12-02T08:04:04Z,2025-12-02T08:04:04Z,0
3cYi5t9UvzY,UgypZhJbKz8b9UlZmvR4AaABAg,@manswiu,anh võ sĩ nhìn hiền dễ mến ghê,0,2025-11-06T05:39:49Z,2025-11-06T05:39:49Z,0
3cYi5t9UvzY,UgwjYUqa-IqIbiCQ1mR4AaABAg,@VănCườngNguyễn-t7y,Nay mới xem nhưng.... ân ???,0,2025-11-05T20:11:25Z,2025-11-05T20:11:25Z,0
3cYi5t9UvzY,Ugwudlvnevrd1fnU7BN4AaABAg,@VănLiêmLê-x6b,Em thấy vòng chung kết sẽ có chiến thuật là ăn mấy món nặng nhất và ko được uống nước nếu uống nước thì sẽ ko ăn lớp bánh ở ngoài vì nó sẽ nở trong bụng làm mình no hơn  chúc mừng đội anh Bảo đã dành chiến thắng🎉,1,2025-10-26T12:05:48Z,2025-10-26T12:05:48Z,0
3cYi5t9UvzY,UgwiuCqwneYQpm_wWgd4AaABAg,@xuantruong2650,vê lút,0,2025-07-31T01:04:54Z,2025-07-31T01:04:54Z,0
3cYi5t9UvzY,UgwPZcQcu31L2KnO7vp4AaABAg,@QuanNguyen-lk2ol,....,0,2025-07-17T19:59:57Z,2025-07-17T19:59:57Z,0
3cYi5t9UvzY,UgxECGaQuq4v-iN1ic14AaABAg,@ThaiNguyễn-l4g7c,xem lai thay tk AN no ngu tra gia lao ditttt meeee no,0,2025-07-17T06:23:01Z,2025-07-17T06:23:01Z,0
3cYi5t9UvzY,UgwjtP26kG7HZSzt0E94AaABAg,@SơnTrần-w4y,Sếp lâm khúc này thấy ốm nhỉ 😂,0,2025-07-13T12:53:13Z,2025-07-13T12:53:13Z,0
3cYi5t9UvzY,UgweubeoCBe10c3icbt4AaABAg,@HAONHIENHUA-h9e,Rất hayyyyyyy😊😊,0,2025-06-04T12:50:46Z,2025-06-04T12:50:46Z,0
3cYi5t9UvzY,Ugyxu6_9KmXmal7aNHB4AaABAg,@ngocquyen9b197,tổng thống veres 🤣,0,2025-02-28T11:45:13Z,2025-02-28T11:45:13Z,0
3cYi5t9UvzY,UgyPk4MtjWw_VDqlVSh4AaABAg,@quactoannguyen3958,tổng thống veres kìa,0,2025-02-12T03:06:44Z,2025-02-12T03:06:44Z,0
3cYi5t9UvzY,UgxY4z3VUtvklAgPoH14AaABAg,@truonghieu46207,"Lẽ ra phải bắt ăn hết vòng nào cũng phải tham gia, tại vì như v mới công bằng 😅",0,2025-01-08T04:56:44Z,2025-01-08T04:56:44Z,0
3cYi5t9UvzY,UgwApDVSwkFI8tWodaN4AaABAg,@mienguiga3179,"mới đấy 2 năm rồi á, nhanh thật ý",0,2024-12-14T14:54:04Z,2024-12-14T14:54:04Z,0
3cYi5t9UvzY,UgzF5Ep5J0DfjcQ0u194AaABAg,@Phanhoàngđạilong,Thấy th tài tỏi t ghét quá đi bây,0,2024-11-24T06:28:52Z,2024-11-24T06:28:52Z,0
3cYi5t9UvzY,Ugz6FbtARAVItvXEZeN4AaABAg,@Cuongxomla,tuyệt vòi chúc team luôn thành công nhé,0,2024-11-24T05:53:31Z,2024-11-24T05:53:31Z,0
3cYi5t9UvzY,UgxpZd9S8OQkaUSYyfZ4AaABAg,@haiplus19,a Hào bắt đầu vô team từ video này 😮,0,2024-11-09T13:28:08Z,2024-11-09T13:28:08Z,0
3cYi5t9UvzY,UgyZ9qv-jNGTjHlUeOR4AaABAg,@trai_lang,À thì ra hào vô từ clip này,19,2024-10-20T15:24:39Z,2024-10-20T15:24:39Z,0
3cYi5t9UvzY,Ugz2GoC2sJ18acCPsmF4AaABAg,@vietkhoanguyen7371,Lâm vlog nhiều content hay quá,0,2024-10-12T05:30:15Z,2024-10-12T05:30:15Z,0
3cYi5t9UvzY,UgwfNbOJW0ww9ZdDext4AaABAg,@vietkhoanguyen7371,Ngon quá,0,2024-10-12T04:08:41Z,2024-10-12T04:08:41Z,0
3cYi5t9UvzY,UgzT29ZvOq3m3DXX8EB4AaABAg,@maynguyen8935,Xem mà chỉ mong a võ sư thắng luôn á trời,0,2024-10-04T06:50:46Z,2024-10-04T06:50:46Z,0
